# z, uu, vv, ww, tke
1.008000000000000000e+03 1.359352211265440124e-03 8.329069322057222396e-04 1.898866703101675653e-04 1.191072906890664829e-03
1.020000000000000000e+03 1.371887162528858230e-03 9.905123149256975321e-04 2.265838254649349675e-04 1.294491651459745351e-03
1.032000000000000000e+03 1.156600533612936422e-03 1.284264433925890684e-03 2.734861879765051605e-04 1.357175577757666106e-03
1.044000000000000000e+03 1.034795510154524123e-03 7.657680515847556770e-04 3.108525178195665475e-04 1.055708039779423282e-03
1.056000000000000000e+03 6.391241976082632234e-04 6.782231697314185237e-04 3.239208791413902768e-04 8.206341232405359306e-04
1.068000000000000000e+03 7.246819771985329442e-04 3.270441233354313536e-04 3.375597947981957619e-04 6.946429476660800299e-04
1.080000000000000000e+03 7.996291066659093382e-04 2.664635387542620007e-04 3.610706279406217657e-04 7.135816366803965794e-04
1.092000000000000000e+03 1.176473029542375636e-03 1.991185112777951120e-04 3.787376372821226649e-04 8.771645890511467741e-04
1.104000000000000000e+03 1.877523288310306484e-03 1.752244764645257400e-04 3.727199159990662912e-04 1.212733840386949176e-03
1.116000000000000000e+03 1.922248451989716587e-03 1.699948024576122395e-04 3.377043701163760011e-04 1.214973812281852292e-03
1.128000000000000000e+03 1.747775339609093908e-03 1.928879283242994694e-04 2.841237972798167145e-04 1.112393532606605019e-03
1.140000000000000000e+03 8.619018727889620748e-04 1.549166552694552926e-04 2.360930422456613057e-04 6.264557851520393501e-04
1.152000000000000000e+03 5.416549799196594423e-04 1.348957675971150494e-04 1.986037392901078601e-04 4.375772434034412030e-04
1.164000000000000000e+03 2.059651863686337255e-04 1.098198764231973757e-04 1.720483288957290414e-04 2.439166958437800578e-04
1.176000000000000000e+03 1.943841441880788767e-04 9.052545860416358770e-05 1.383981598853025873e-04 2.116538813387725394e-04
1.188000000000000000e+03 1.156136947648004520e-04 6.987163648747669257e-05 1.080472249216045389e-04 1.467662780869408417e-04
1.200000000000000000e+03 1.175600811683349175e-04 5.325652218721072830e-05 9.175562857481324398e-05 1.312861159651794517e-04
1.212000000000000000e+03 7.199031810720661227e-05 4.903545872217432108e-05 7.164404279694686116e-05 9.633490981316389725e-05
1.224000000000000000e+03 8.057211101983447995e-05 3.911663503927940457e-05 6.419880616648752664e-05 9.194377611280070558e-05
1.236000000000000000e+03 5.325492245432599349e-05 3.612985204717569294e-05 5.148301706345365184e-05 7.043389578247767591e-05
1.248000000000000000e+03 4.831731585987810709e-05 3.337695161400517957e-05 4.810466934774779992e-05 6.489946841081555007e-05
1.260000000000000000e+03 4.057893932020277956e-05 2.660603325990118666e-05 3.938224246162935673e-05 5.328360752086665978e-05
1.272000000000000000e+03 3.202886709149197647e-05 2.891030482384930746e-05 3.824150164635279595e-05 4.959033678084704333e-05
1.284000000000000000e+03 3.212299049997824270e-05 2.257265289204903866e-05 3.220340766496201907e-05 4.344952552849464683e-05
1.296000000000000000e+03 2.209321204246243926e-05 2.116383937668757500e-05 3.182446599120962113e-05 3.754075870517981431e-05
1.308000000000000000e+03 2.729520602875439237e-05 1.597104645347195904e-05 2.776976229769586424e-05 3.551800738996110782e-05
1.320000000000000000e+03 1.702727648296047314e-05 1.709424151891827414e-05 2.761207644163486799e-05 3.086679722175680255e-05
1.332000000000000000e+03 2.559094341716345905e-05 1.243680800935340652e-05 2.468887885158769740e-05 3.135831513905228487e-05
1.344000000000000000e+03 1.510538403282701833e-05 1.388299839443574233e-05 2.452722673967954329e-05 2.675780458347115198e-05
1.356000000000000000e+03 2.492352650552973463e-05 1.124806431278813034e-05 2.248968359069177095e-05 2.933063720450481711e-05
1.368000000000000000e+03 1.474618001242085030e-05 1.259846619203148837e-05 2.221255700320253716e-05 2.477860160382743622e-05
1.380000000000000000e+03 2.444360991680980587e-05 1.065294272007175562e-05 2.092817539968545127e-05 2.801236401828350553e-05
1.392000000000000000e+03 1.512248720705109421e-05 1.223206631720348257e-05 2.034570163150677257e-05 2.385012757788067722e-05
1.404000000000000000e+03 2.282772964601136227e-05 1.080422971942285299e-05 1.972383765754031349e-05 2.667789851148726099e-05
1.416000000000000000e+03 1.505163808503908803e-05 1.202376794008577239e-05 1.883975700418420162e-05 2.295758151465452848e-05
1.428000000000000000e+03 2.048829142232655535e-05 1.126915549997109455e-05 1.876511383680589840e-05 2.526128037955177076e-05
1.440000000000000000e+03 1.414011942667201593e-05 1.151090386717133013e-05 1.764456708207841771e-05 2.164779518796087934e-05
1.452000000000000000e+03 1.781841288745589198e-05 1.138026318976992277e-05 1.803286592092265923e-05 2.361577099907423614e-05
1.464000000000000000e+03 1.267862755230701983e-05 1.068980790431206599e-05 1.672046504242192519e-05 2.004445024952050466e-05
1.476000000000000000e+03 1.487577164805280532e-05 1.094226898272774336e-05 1.744462470373594643e-05 2.163133266725824586e-05
1.488000000000000000e+03 1.102123428299925926e-05 9.657314651551285201e-06 1.603090394844593620e-05 1.835472644149824118e-05
1.500000000000000000e+03 1.184083162842739435e-05 1.020109322355411469e-05 1.688692646709443870e-05 1.946442565953797387e-05
1.512000000000000000e+03 9.529702466226197449e-06 8.593839144539661105e-06 1.546074978313291716e-05 1.679214569694938955e-05
1.524000000000000000e+03 9.469471637510196803e-06 9.650149372737715824e-06 1.627133574246702837e-05 1.769547837635747050e-05
1.536000000000000000e+03 8.956254136726471128e-06 7.957200263075581197e-06 1.485483104815183111e-05 1.588414272397694341e-05
1.548000000000000000e+03 8.587675376877967857e-06 9.727997137524280321e-06 1.557194186353553559e-05 1.694380718896889443e-05
1.560000000000000000e+03 9.542038293253440060e-06 7.883289964524830924e-06 1.414446142985462110e-05 1.578489484381644689e-05
1.572000000000000000e+03 8.888301556324052169e-06 1.010628819229841782e-05 1.482649805748578726e-05 1.691054390305412862e-05
1.584000000000000000e+03 1.039027476193581438e-05 8.128949462852297537e-06 1.339012667322566272e-05 1.595467544900688986e-05
1.596000000000000000e+03 9.413622432584389224e-06 1.023758352112231820e-05 1.404497062374430145e-05 1.684808828872550444e-05
1.608000000000000000e+03 1.082971939046117818e-05 8.644756995756352748e-06 1.270167197284300981e-05 1.608807417953027122e-05
1.620000000000000000e+03 9.842912222781663919e-06 1.012096708993013334e-05 1.324939138234326181e-05 1.660663534752752869e-05
1.632000000000000000e+03 1.100416914580186726e-05 9.298327361613445001e-06 1.222080927862995443e-05 1.626165289302263081e-05
1.644000000000000000e+03 1.033122557910424097e-05 9.998614803358574340e-06 1.254208695342182681e-05 1.643596366794232021e-05
1.656000000000000000e+03 1.130534217349143960e-05 1.003049392168202607e-05 1.203752101607537275e-05 1.668667855562441836e-05
1.668000000000000000e+03 1.098349440340200531e-05 1.009879801279627256e-05 1.202074777322600483e-05 1.655152009471214135e-05
1.680000000000000000e+03 1.202884086878981370e-05 1.095575464191975696e-05 1.214209191098188383e-05 1.756334371084572894e-05
1.692000000000000000e+03 1.172378355584946568e-05 1.061003052296474218e-05 1.186901141753824667e-05 1.710141274817622811e-05
1.704000000000000000e+03 1.294392886368918079e-05 1.186147289391126228e-05 1.259557296698122216e-05 1.870048736229083431e-05
1.716000000000000000e+03 1.240922664021262199e-05 1.155007681226099025e-05 1.241002688819270158e-05 1.818466517033315522e-05
1.728000000000000000e+03 1.359860591690313913e-05 1.251044256333102643e-05 1.366355322154652129e-05 1.988630085089034512e-05
1.740000000000000000e+03 1.334635091141329548e-05 1.314013441410217789e-05 1.388711278767542862e-05 2.018679905659545015e-05
1.752000000000000000e+03 1.516234962666480641e-05 1.407101828801353717e-05 1.565497783309051266e-05 2.244417287388442812e-05
1.764000000000000000e+03 1.664530912753328122e-05 1.744910119520932528e-05 1.664645693570562836e-05 2.537043362922411743e-05
