# z, Tu, Tv, Tw
1.464000000000000000e+03 1.705189443441667995e-07 -2.616444541558848824e-08 -1.862147385353101644e-07
1.476000000000000000e+03 5.345981363916507210e-07 -7.135526395813940425e-08 1.401698884965139661e-07
1.488000000000000000e+03 1.630907196158659571e-07 -3.459416736859566026e-08 -1.213047570081405477e-07
1.500000000000000000e+03 4.388666237559846253e-07 -1.154308425611816340e-07 9.854132835977415474e-08
1.512000000000000000e+03 9.396038267368566767e-08 -2.456428043728920028e-08 -7.593128591023429239e-08
1.524000000000000000e+03 2.916760103403248752e-07 -1.855353585312968915e-07 4.970009498996691677e-08
1.536000000000000000e+03 2.909742522660963083e-09 -1.201379669169000357e-08 -6.262855291418066422e-08
1.548000000000000000e+03 1.331387495042690756e-07 -2.291588771640817942e-07 -4.372875902449346971e-09
1.560000000000000000e+03 -7.805022540878781113e-08 8.648807164490790638e-09 -7.045723391453876499e-08
1.572000000000000000e+03 1.341434492587723139e-08 -1.657938962523530870e-07 -6.035481761808843646e-08
1.584000000000000000e+03 -9.825538642189713125e-08 8.815536093607079399e-08 -8.129316134042263460e-08
1.596000000000000000e+03 -3.995291031060332719e-08 -1.872894682151127328e-08 -1.106663936689088032e-07
1.608000000000000000e+03 -7.000408819521908238e-08 1.645931738210037993e-07 -8.684457214180319222e-08
1.620000000000000000e+03 -1.002144542326277579e-07 6.964705322616282146e-08 -1.316001356277403264e-07
1.632000000000000000e+03 -6.667027413413962038e-08 1.408173651554989273e-07 -8.798572235381635776e-08
1.644000000000000000e+03 -1.729903989712511267e-07 5.660813570784739462e-08 -1.086175573121574306e-07
1.656000000000000000e+03 -1.610686434787566999e-08 6.341861610508203756e-08 -8.005012188120753144e-08
1.668000000000000000e+03 -1.221595504716788056e-07 1.080099925161448533e-08 -5.848281344637585959e-08
1.680000000000000000e+03 1.253494501952445726e-07 -5.134502290502495997e-08 -4.858075813854100565e-08
1.692000000000000000e+03 7.981333340012497224e-09 -7.974410932547471376e-08 -6.190816129878320343e-09
1.704000000000000000e+03 1.917816371360459021e-07 -2.223951926168865604e-07 -2.256483039431243127e-08
1.716000000000000000e+03 7.203411570344541952e-08 -1.595589815167386336e-07 1.459883931384754340e-08
1.728000000000000000e+03 1.695277586577503889e-07 -2.466726059481061574e-07 -7.456439554974154382e-08
1.740000000000000000e+03 6.185223260217753139e-08 -1.740442188747692958e-07 1.214142324142525825e-08
1.752000000000000000e+03 1.243606163484400998e-07 -7.288667069360599515e-09 -1.593353159580587386e-07
1.764000000000000000e+03 -1.974007354988316259e-07 -1.972606813751554083e-07 2.147903375937579443e-08
1.776000000000000000e+03 -1.389930191749044640e-07 2.694037653554914853e-07 -3.424980583782495500e-07
1.788000000000000000e+03 -6.905990739824119226e-07 7.565456378983981472e-08 5.643198451664998970e-08
1.800000000000000000e+03 -3.038482859096802819e-07 2.067237098628993520e-07 -1.099291510318338398e-06
1.812000000000000000e+03 8.752577699283392402e-07 1.912492500702001224e-06 -1.365402527706743796e-06
1.824000000000000000e+03 1.173666764202607754e-06 9.029520170315663570e-07 -2.240898341350922176e-06
1.836000000000000000e+03 1.179727234227811940e-05 5.290623166905561415e-06 -1.634604475277348718e-05
1.848000000000000000e+03 1.665536323253036317e-05 1.288175721905417875e-05 -1.097333640633340801e-05
1.860000000000000000e+03 1.357416989355897434e-05 7.684122158809714325e-06 1.512088007451654088e-05
1.872000000000000000e+03 1.430710412109874521e-05 1.071541494263215099e-05 4.892623249089747035e-05
1.884000000000000000e+03 2.217138863469472296e-05 1.988629045865764018e-05 8.583158185345147290e-05
1.896000000000000000e+03 1.919016690824264647e-05 2.197798738505980537e-05 1.227160723618618457e-04
1.908000000000000000e+03 4.180239841322190553e-05 3.535211510350109467e-05 1.323355167944341231e-04
1.920000000000000000e+03 6.037423786956423705e-05 5.504243617509700951e-05 7.547273373366617639e-05
