# z, Tu, Tv, Tw
1.260000000000000000e+03 -4.503224403932836080e-03 -3.643127280149280854e-03 -3.570009240199301108e-06
1.272000000000000000e+03 -4.482456663281550457e-03 -3.648397232903914742e-03 2.375647682543721596e-06
1.284000000000000000e+03 -4.456224865554861241e-03 -3.654686075494748779e-03 -1.420791316240072075e-06
1.296000000000000000e+03 -4.438169182527201308e-03 -3.665039928793407779e-03 7.684831260228574161e-07
1.308000000000000000e+03 -4.420482793033329860e-03 -3.674969950488889570e-03 -3.818859535492522917e-07
1.320000000000000000e+03 -4.413141917153256752e-03 -3.681273795875881789e-03 2.047381343088977749e-07
1.332000000000000000e+03 -4.409417955750961557e-03 -3.684346218961127243e-03 -1.139290650099080999e-07
1.344000000000000000e+03 -4.409146589534111704e-03 -3.684647961365294759e-03 8.105639151860755236e-08
1.356000000000000000e+03 -4.407939152890628584e-03 -3.685749525389473997e-03 -4.396865971991232902e-08
1.368000000000000000e+03 -4.408029741288294577e-03 -3.685803388845658880e-03 3.355081146837730698e-08
1.380000000000000000e+03 -4.407177747212108129e-03 -3.686685941453379106e-03 -1.434673486060299966e-08
1.392000000000000000e+03 -4.407365140519413707e-03 -3.686688850456118754e-03 1.821378550887221976e-08
1.404000000000000000e+03 -4.406848622019310727e-03 -3.687348381219487849e-03 -1.361503801887268944e-10
1.416000000000000000e+03 -4.407081127113485729e-03 -3.687419656003271609e-03 2.603670640274744652e-09
1.428000000000000000e+03 -4.406696366318397368e-03 -3.687948905238727215e-03 2.408034686422633205e-08
1.440000000000000000e+03 -4.406996966887879487e-03 -3.688020864025202267e-03 -2.490932650426641703e-08
1.452000000000000000e+03 -4.406744724830389051e-03 -3.688478200780082473e-03 5.116035321488464821e-08
1.464000000000000000e+03 -4.407144326466197817e-03 -3.688458900565138015e-03 -5.181789894455675575e-08
1.476000000000000000e+03 -4.407001056117314589e-03 -3.688890804532434387e-03 6.448501651097962986e-08
