# z, uu, vv, ww, tke
5.760000000000000000e+02 1.233797656545083075e-03 1.233809860463488213e-03 1.234383649693796730e-03 1.850995583351184009e-03
5.880000000000000000e+02 1.153737196830369443e-03 1.153745538124585765e-03 1.154029339244401009e-03 1.730756037099677892e-03
6.000000000000000000e+02 1.112533506924111163e-03 1.112534909207952075e-03 1.113001181440167109e-03 1.669034798786115173e-03
6.120000000000000000e+02 1.081626924498566922e-03 1.081603284984658259e-03 1.081848196377412650e-03 1.622539202930318916e-03
6.240000000000000000e+02 1.063027086133091353e-03 1.063021469737135839e-03 1.063411399853235375e-03 1.594729977861731283e-03
6.360000000000000000e+02 1.064290987663518316e-03 1.064265997323685011e-03 1.064501416445082010e-03 1.596529200716142669e-03
6.480000000000000000e+02 1.065370532968045510e-03 1.065360938581180663e-03 1.065787502707883248e-03 1.598259487128554819e-03
6.600000000000000000e+02 1.077197145360724983e-03 1.077184219003441811e-03 1.077377305104424169e-03 1.615879334734295590e-03
6.720000000000000000e+02 1.071625040163659386e-03 1.071606986121375433e-03 1.072017655094670112e-03 1.607624840689852574e-03
6.840000000000000000e+02 1.066248851155690959e-03 1.066215467387080559e-03 1.066338146843416991e-03 1.599401232693094255e-03
6.960000000000000000e+02 1.082323488973004283e-03 1.082239494438171209e-03 1.082632565476303625e-03 1.623597774443739667e-03
7.080000000000000000e+02 1.087909684294533982e-03 1.087946324126133927e-03 1.087983532274445272e-03 1.631919770347556699e-03
7.200000000000000000e+02 1.079402055370949718e-03 1.079448079146216486e-03 1.079669737712323635e-03 1.619259936114744811e-03
7.320000000000000000e+02 1.066591233003322779e-03 1.066603849711526570e-03 1.066698096052324336e-03 1.599946589383586734e-03
7.440000000000000000e+02 1.055488625364742888e-03 1.055506521614371813e-03 1.055846476023780981e-03 1.583420811501447950e-03
7.560000000000000000e+02 1.041014853344787456e-03 1.041021298893043826e-03 1.041107546641550701e-03 1.561571849439691208e-03
7.680000000000000000e+02 1.026116962660892284e-03 1.026153326022817168e-03 1.026495032881616148e-03 1.539382660782662691e-03
7.800000000000000000e+02 1.027094959666697551e-03 1.027023343420763570e-03 1.027057750360105921e-03 1.540588026723783630e-03
7.920000000000000000e+02 9.948605152131403517e-04 9.948015467536818444e-04 9.952168690528411313e-04 1.492439465509831555e-03
8.040000000000000000e+02 9.757538201750730333e-04 9.756640678500758199e-04 9.757724462908658842e-04 1.463595167158007315e-03
8.160000000000000000e+02 9.388805379340201462e-04 9.388472446806062121e-04 9.392414941019174230e-04 1.408484638358271836e-03
8.280000000000000000e+02 9.140473473113539101e-04 9.140444843267698030e-04 9.140027248204352474e-04 1.371047278229279480e-03
8.400000000000000000e+02 8.844239172399577737e-04 8.843970204464797783e-04 8.847244082404621957e-04 1.326772672963449874e-03
8.520000000000000000e+02 8.800945646265558985e-04 8.800518592481427647e-04 8.800642336383910323e-04 1.320105328756544794e-03
8.640000000000000000e+02 8.761234814307244153e-04 8.760950249015093689e-04 8.764993848280962403e-04 1.314358945580165012e-03
8.760000000000000000e+02 8.822284670431983699e-04 8.822418152305302975e-04 8.822055965689941295e-04 1.323337939421361398e-03
8.880000000000000000e+02 8.683132318321104808e-04 8.683076479217484997e-04 8.686459545779874310e-04 1.302633417165923206e-03
9.000000000000000000e+02 8.310257776193935662e-04 8.310276482216973721e-04 8.308802249390790685e-04 1.246466825390084949e-03
9.120000000000000000e+02 8.239323720560758199e-04 8.238549689979921464e-04 8.242231152209477047e-04 1.236005228137507890e-03
9.240000000000000000e+02 8.230331246859238364e-04 8.229535018798294363e-04 8.229121642852828310e-04 1.234449395425517943e-03
9.360000000000000000e+02 8.106490917136490284e-04 8.105135754994663433e-04 8.108499200019729210e-04 1.216006293607544038e-03
9.480000000000000000e+02 8.212246820554835536e-04 8.209752640360616161e-04 8.208505638963092344e-04 1.231525254993927256e-03
9.600000000000000000e+02 8.177604090343172172e-04 8.176151975622566450e-04 8.179435206699471649e-04 1.226659563633260459e-03
9.720000000000000000e+02 8.933126806460987834e-04 8.932852297080215486e-04 8.929874095576166961e-04 1.339792659955868406e-03
9.840000000000000000e+02 8.942892102544760906e-04 8.941746079435582010e-04 8.945062858339124104e-04 1.341485052015973243e-03
9.960000000000000000e+02 9.832052029027102749e-04 9.830243250257126014e-04 9.829757913397589933e-04 1.474602659634091043e-03
1.008000000000000000e+03 9.741551920526031905e-04 9.740645813482570400e-04 9.747593423012236710e-04 1.461489557851041897e-03
1.020000000000000000e+03 9.679509490830667763e-04 9.677878599775961970e-04 9.679935175677045148e-04 1.451866163314183798e-03
1.032000000000000000e+03 8.247714466306363054e-04 8.246218905402946013e-04 8.258571765114826671e-04 1.237625256841206733e-03
1.044000000000000000e+03 7.378116069298372263e-04 7.376589380167677523e-04 7.384363750822173222e-04 1.106953460014411042e-03
1.056000000000000000e+03 6.548645057305322236e-04 6.547524344160245103e-04 6.559628411784466191e-04 9.827898906625016223e-04
1.068000000000000000e+03 4.219621209774795088e-04 4.219005312015145339e-04 4.219544426634421895e-04 6.329085474212181161e-04
1.080000000000000000e+03 3.791197477854026370e-04 3.790611027433824138e-04 3.791703480449105631e-04 5.686755992868478340e-04
1.092000000000000000e+03 4.171342972174805477e-04 4.171763178969361565e-04 4.172141530407533086e-04 6.257623840775850335e-04
1.104000000000000000e+03 4.630117981906694733e-04 4.629412377713656101e-04 4.632473206384863751e-04 6.946001783002607021e-04
1.116000000000000000e+03 5.039466647585165871e-04 5.038826542206892170e-04 5.039628005537912783e-04 7.558960597664986496e-04
1.128000000000000000e+03 4.061933833152642464e-04 4.062096225875938787e-04 4.062700255635449042e-04 6.093365157332015147e-04
1.140000000000000000e+03 3.675925619503929301e-04 3.675088024324280728e-04 3.675357968337088764e-04 5.513185806082648854e-04
1.152000000000000000e+03 1.874260318289967722e-04 1.873978263958765429e-04 1.873766585127941830e-04 2.811002583688337626e-04
1.164000000000000000e+03 1.609297836529499897e-04 1.609150725564328129e-04 1.613053760832011902e-04 2.415751161462919964e-04
1.176000000000000000e+03 1.903371914987059212e-04 1.903521368133571348e-04 1.903254063770566575e-04 2.855073673445598838e-04
1.188000000000000000e+03 1.726832111898916108e-04 1.726898001509287093e-04 1.726777061555975789e-04 2.590253587482089495e-04
1.200000000000000000e+03 1.529451704870419171e-04 1.529473821081307381e-04 1.529537646335170364e-04 2.294231586143448322e-04
1.212000000000000000e+03 9.234332832019697757e-05 9.234538899177368557e-05 9.232107821001196582e-05 1.385048977609913213e-04
1.224000000000000000e+03 8.581362017109020891e-05 8.581884935596699850e-05 8.583345405428505909e-05 1.287329617906711400e-04
1.236000000000000000e+03 4.891923190314460650e-05 4.892350720362100057e-05 4.894674846687154478e-05 7.339474378681857592e-05
1.248000000000000000e+03 3.049039536646262636e-05 3.049017167588099448e-05 3.047216429884165440e-05 4.572636567059263762e-05
1.260000000000000000e+03 1.417475077509166088e-05 1.417773219378024102e-05 1.420227554184147181e-05 2.127737925535668601e-05
1.272000000000000000e+03 1.053530954113543670e-05 1.053591349030240666e-05 1.051763398104881898e-05 1.579442850624333117e-05
1.284000000000000000e+03 5.219891458107756910e-06 5.219950188375250141e-06 5.235902358304933136e-06 7.837872002393969246e-06
1.296000000000000000e+03 3.121330908963712977e-06 3.120133824463874075e-06 3.105153384970886768e-06 4.673309059199237122e-06
1.308000000000000000e+03 1.901536133350115160e-06 1.901825990905354332e-06 1.912833780276246942e-06 2.858097952265858217e-06
1.320000000000000000e+03 1.421959434399816406e-06 1.421571616262958231e-06 1.411250897742650760e-06 2.127390974202712593e-06
1.332000000000000000e+03 1.243746569806450644e-06 1.243847401624252224e-06 1.253938488417522060e-06 1.870766229924112252e-06
1.344000000000000000e+03 1.088230691684537792e-06 1.088173588095484252e-06 1.078937471034206191e-06 1.627670875407114118e-06
1.356000000000000000e+03 9.861434467979370330e-07 9.858587625243263883e-07 9.952560020906465898e-07 1.483629105706455217e-06
1.368000000000000000e+03 9.254329813808817681e-07 9.256007575858793188e-07 9.167145728677730479e-07 1.383874155917266961e-06
1.380000000000000000e+03 8.461625009292646701e-07 8.455912834323613361e-07 8.545061456831390454e-07 1.273129965022382526e-06
1.392000000000000000e+03 8.346019685529212582e-07 8.348238616088633598e-07 8.262751708928147209e-07 1.247850500527299564e-06
1.404000000000000000e+03 7.687248117908578801e-07 7.680049573202557227e-07 7.765720748661537938e-07 1.156650921988633804e-06
1.416000000000000000e+03 7.653541946064231547e-07 7.656537887913849011e-07 7.572709438269290275e-07 1.144139463612368489e-06
1.428000000000000000e+03 7.350329835271890243e-07 7.343017092033567913e-07 7.425308469709142330e-07 1.105932769850729865e-06
1.440000000000000000e+03 7.162595807052276092e-07 7.165930822438896338e-07 7.082655118657342672e-07 1.070559087407425702e-06
1.452000000000000000e+03 7.161489038677890213e-07 7.154115304807719467e-07 7.234232945963254222e-07 1.077491864472443195e-06
1.464000000000000000e+03 6.859707365940466694e-07 6.862539323088999623e-07 6.782591782590057042e-07 1.025241923580976168e-06
1.476000000000000000e+03 6.933178486144228167e-07 6.925967166762277939e-07 7.004913425766942746e-07 1.043202953933672390e-06
1.488000000000000000e+03 6.726585970743858864e-07 6.728379028393497178e-07 6.653988383545853918e-07 1.005447669134160445e-06
1.500000000000000000e+03 6.778729643146443375e-07 6.771916682006832876e-07 6.848934556758874786e-07 1.019979044095607552e-06
1.512000000000000000e+03 6.669684272342904325e-07 6.670391919042053415e-07 6.600386351277214491e-07 9.970231271331087703e-07
1.524000000000000000e+03 6.627956565750854467e-07 6.621804302268300655e-07 6.695233705563481520e-07 9.972497286791318850e-07
1.536000000000000000e+03 6.525248339787212435e-07 6.525763232899298356e-07 6.457085975241315692e-07 9.754048773963913242e-07
1.548000000000000000e+03 6.380518711861232976e-07 6.374637201181946994e-07 6.444526211925098452e-07 9.599841062484138682e-07
1.560000000000000000e+03 6.263254243268403099e-07 6.264677216974387386e-07 6.196197081850987071e-07 9.362064271046887719e-07
1.572000000000000000e+03 6.209332563836541447e-07 6.203432580351341005e-07 6.271758417819882644e-07 9.342261781003883078e-07
1.584000000000000000e+03 6.164338878747951269e-07 6.166678004227585272e-07 6.098790126513004366e-07 9.214903504744270983e-07
1.596000000000000000e+03 6.285580389277463345e-07 6.280075570150373251e-07 6.348751152865214866e-07 9.457203556146525731e-07
1.608000000000000000e+03 6.377371435862200721e-07 6.379831474350792475e-07 6.312157062478991190e-07 9.534679986345992193e-07
1.620000000000000000e+03 6.568885565404167653e-07 6.564528756373644782e-07 6.632738047145976695e-07 9.883076184461894565e-07
1.632000000000000000e+03 6.739099735861947482e-07 6.741133326797591959e-07 6.673802926015713074e-07 1.007701799433762573e-06
1.644000000000000000e+03 7.056540827248284930e-07 7.053530281636031685e-07 7.121456821989315517e-07 1.061576396543681501e-06
1.656000000000000000e+03 7.247878897346678188e-07 7.249070378507696820e-07 7.182387883542931845e-07 1.083966857969865501e-06
