# z, Tu, Tv, Tw
5.160000000000000000e+02 2.208132090252270802e-08 3.126235896928133364e-09 -1.006636257433385619e-06
5.280000000000000000e+02 1.891418433519888824e-08 9.971609304466807407e-10 -8.862912433003452701e-07
5.400000000000000000e+02 1.852330780706636112e-08 -8.807738636169191719e-10 -7.199456829724908002e-07
5.520000000000000000e+02 1.186931764022126745e-08 2.303338977434683828e-09 -5.968310731623095181e-07
5.640000000000000000e+02 9.263375737774060242e-09 3.887220594763037991e-09 -5.415684226533192036e-07
5.760000000000000000e+02 5.409500491012645150e-09 2.824833210453497309e-09 -5.111356226147467714e-07
5.880000000000000000e+02 3.562729333411134311e-09 1.128111701408196276e-10 -4.262458920162114390e-07
6.000000000000000000e+02 2.142607162788434191e-09 7.572632128558886883e-10 -3.494878752003210775e-07
6.120000000000000000e+02 -1.780357942137320983e-10 2.718789219080788220e-09 -3.708054928971438684e-07
6.240000000000000000e+02 -3.116600249295287043e-09 8.044559467970299883e-10 -3.528229475953867132e-07
6.360000000000000000e+02 -3.658774890302285544e-09 3.442313776183156693e-10 -3.477716786554799887e-07
6.480000000000000000e+02 -2.314727646916030798e-09 -1.113063318952836477e-09 -3.588335181332231361e-07
6.600000000000000000e+02 -4.253505133280738254e-09 -7.712937676663035378e-10 -3.478060539500229072e-07
6.720000000000000000e+02 1.154719767636310646e-09 6.553570566909003894e-10 -3.280816128453772969e-07
6.840000000000000000e+02 9.604623186902746906e-10 1.233238201063246605e-09 -3.298547978562066212e-07
6.960000000000000000e+02 7.218561886493447672e-10 -1.163026565463795998e-09 -3.121755198860296869e-07
7.080000000000000000e+02 -1.074580523921877592e-09 -1.687160112796936983e-09 -3.179911771859915329e-07
7.200000000000000000e+02 -4.024130898945436967e-10 -6.621479440704349831e-10 -3.215727356219886895e-07
7.320000000000000000e+02 1.198557872713942644e-09 1.394593381269801289e-10 -3.238348899944599403e-07
7.440000000000000000e+02 -1.084324800663659945e-09 -3.180225921185189045e-10 -3.802798832988653187e-07
7.560000000000000000e+02 -9.978974386765993297e-10 8.845744530631506454e-11 -3.620787086143520392e-07
7.680000000000000000e+02 -3.261172933578170168e-09 -2.571587962555683090e-09 -4.345850149236677713e-07
7.800000000000000000e+02 -3.676082671970555243e-09 -8.193303600429629893e-10 -5.050366215592473620e-07
7.920000000000000000e+02 -1.938734734247994062e-09 -1.329541192931221898e-09 -3.770948796499198181e-07
8.040000000000000000e+02 -4.175820529340616121e-09 -2.478905279327098228e-09 -2.724250366641667966e-07
8.160000000000000000e+02 -4.648468700908447153e-09 -3.624975089967793179e-09 -2.978586376296725675e-07
8.280000000000000000e+02 -4.375284083578334722e-09 -3.944945621891674007e-09 -3.573673353050552605e-07
8.400000000000000000e+02 -4.280021783459739099e-09 -3.486751031160177076e-09 -4.040670237398211732e-07
8.520000000000000000e+02 -4.748971124972684363e-09 -2.806903847504174286e-09 -4.703751861091285631e-07
8.640000000000000000e+02 -5.201572689196519403e-09 -2.908874157239128398e-09 -5.583374840015846274e-07
8.760000000000000000e+02 -4.626320213633411220e-09 -3.849750377105661851e-09 -6.812741779801450979e-07
8.880000000000000000e+02 -3.512740463147697674e-09 -3.974744147860434011e-09 -8.484309455241563967e-07
9.000000000000000000e+02 -4.488914163083878509e-09 -3.342241897974558537e-09 -1.071792258303135439e-06
9.120000000000000000e+02 -6.505321084850952191e-09 -4.396233136862147582e-09 -1.406454020001759150e-06
9.240000000000000000e+02 -6.507711581082948648e-09 -5.661141246380969574e-09 -1.944427876604556081e-06
9.360000000000000000e+02 -1.025259089468708462e-08 -7.211921056196668849e-09 -2.849396978210230223e-06
9.480000000000000000e+02 -1.062027900290552954e-08 -7.075790122203813199e-09 -4.536538990363840334e-06
9.600000000000000000e+02 -1.140195880192084430e-08 -6.749456616801892499e-09 -7.923416905193527590e-06
9.720000000000000000e+02 -2.611942482675124624e-08 -7.905261054932846895e-09 -1.514665907683569495e-05
9.840000000000000000e+02 -1.223140373239058965e-08 -1.195601321297291895e-08 -2.942550426684841167e-05
9.960000000000000000e+02 -2.836421506652922755e-08 -6.810892250263165169e-09 -5.762201016547917440e-05
1.008000000000000000e+03 -2.314328283241048653e-08 -1.080894171757213093e-08 -1.081004743697360903e-04
